ENROLLMENT;TUITION PAYMENT MARCH 2022;TUITION PAYMENT MARCH 2023;GENDER;TYPE OF EDUCATIONAL INSTITUTION;EDUCATIONAL INSTITUTION;INSTITUTION STATUS;DEPARTMENT;PROVINCE;DISTRICT;CLASSIFICATION;CAMPUS;FACULTY;PROGRAM/MAJOR;SHIFT/SCHEDULE;BENEFIT DISCOUNTS;STUDY MODE;AGE RANGE OF ENROLLED STUDENT;DISABILITY;NUMBER OF ENROLLED COURSES;AT-RISK COURSE
Nuevo;0;0;M;COLEGIO;LEONNARD EULER;PRIVADA;LIMA;LIMA;PUNTA NEGRA;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERIA INDUSTRIAL (50/50);MAÑANA;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Nuevo;0;0;F;;;;LIMA;LIMA;LIMA;Carreras Pregrado;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE EMPRESAS;NOCHE;SIN BENEFICIO;Virtual;2. 19-20;No;2;2
Nuevo;0;0;F;COLEGIO;IVAN PAVLOV;PRIVADA;LIMA;LIMA;COMAS;Carreras Pregrado;UTP Lima Centro;Fac. Contabilidad;CONTABILIDAD;NOCHE;SIN BENEFICIO;Presencial;2. 19-20;No;0;0
Nuevo;0;0;F;INSTITUTO;IDAT;PRIVADA;LIMA;LIMA;SAN MARTIN DE PORRES;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;NEGOCIOS INTERNACIONALES (50/50);MAÑANA;CONVENIOS;Virtual;5. >=30;No;2;0
Nuevo;1;1;M;COLEGIO;7213 PERUANO JAPONES;ESTATAL;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;Carreras Pregrado;UTP Lima Centro;Fac. Salud;TERAPIA FÍSICA;NOCHE;SIN BENEFICIO;Presencial;2. 19-20;No;1;1
Nuevo;0;0;M;COLEGIO;7053 REINO DE ESPAÑA;ESTATAL;LIMA;LIMA;CHORRILLOS;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SOFTWARE;NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;1;0
Nuevo;0;0;F;COLEGIO;AUGUSTO SALAZAR BONDY;ESTATAL;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;Carreras Pregrado;UTP Lima Centro;Fac. Hum y CC Soc;PSICOLOGIA;MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;3;3
Nuevo;0;0;F;COLEGIO;CEBA - 1173 JULIO CESAR TELLO;ESTATAL;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE EMPRESAS (80/20);NOCHE;SIN BENEFICIO;Virtual;3. 21-23;No;3;0
Nuevo;0;0;M;COLEGIO;CEBA - MARCELINO MENENDEZ Y PE;PRIVADA;LIMA;LIMA;LINCE;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Contabilidad;CONTABILIDAD FINANCIERA (50/50);NOCHE;SIN BENEFICIO;Presencial;5. >=30;No;3;3
Nuevo;1;0;M;COLEGIO;JOSE SANTOS CHOCANO;ESTATAL;LIMA;LIMA;PUEBLO LIBRE;Carreras Pregrado;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;3;3
Nuevo;0;0;M;INSTITUTO;ANTENOR ORREGO ESPINOZA;ESTATAL;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;ADMINISTRACION DE NEGOCIOS (50/50);NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;1;0
Nuevo;0;0;M;COLEGIO;28 DE JULIO;PRIVADA;LIMA;LIMA;LIMA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. AUTOMOTRIZ;NOCHE;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Nuevo;1;1;F;COLEGIO;HONORES DE BREÑA;PRIVADA;LIMA;LIMA;LIMA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERÍA EMPRESARIAL;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;1;1
Nuevo;0;0;F;;;;LIMA;LIMA;BRENA;Carreras Pregrado;UTP Lima Centro;Fac. Salud;ENFERMERÍA;MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Nuevo;1;1;F;;SANTA MARIA;;LIMA;LIMA;LA VICTORIA;Carreras Pregrado;UTP Lima Centro;Fac. Salud;TERAPIA FÍSICA;MIXTO;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Nuevo;1;1;F;COLEGIO;HEROINAS TOLEDO;ESTATAL;CALLAO;CALLAO;CALLAO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL;MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;2;0
Nuevo;1;1;M;COLEGIO;1148 JUANA INFANTES VERA;ESTATAL;LIMA;LIMA;LIMA;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERÍA CIVIL (50/50);MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Nuevo;0;0;M;INSTITUTO;SENATI;PRIVADA;LIMA;LIMA;LIMA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SOFTWARE;;SIN BENEFICIO;Por calcular;2. 19-20;No;0;0
Nuevo;1;1;F;COLEGIO;SAN LUIS GONZAGA;ESTATAL;ICA;CHINCHA;SUNAMPE;Carreras Pregrado;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS INTERNACIO;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Nuevo;0;0;M;;;;AREQUIPA;CAYLLOMA;MAJES;Carreras Pregrado;UTP Lima Centro;Fac. Contabilidad;CONTABILIDAD;MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Nuevo;0;0;M;INSTITUTO;SENCICO;PRIVADA;CALLAO;CALLAO;BELLAVISTA;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERÍA CIVIL (50/50);MAÑANA;SIN BENEFICIO;Presencial;4. 24-29;No;3;3
Nuevo;0;0;M;;SANTA MARIA DE FATIMA;;LIMA;LIMA;LIMA;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;CIENCIAS DE LA COMUNICACIÓN;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;3;3
Nuevo;0;0;M;COLEGIO;MIGUEL GRAU;ESTATAL;LIMA;LIMA;SANTIAGO DE SURCO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. ELECTRICA Y DE POTENCIA;NOCHE;SIN BENEFICIO;Presencial;5. >=30;No;0;0
Nuevo;0;0;M;INSTITUTO;HIPOLITO UNANUE;PRIVADA;SAN MARTIN;SAN MARTIN;TARAPOTO;Carreras Pregrado;UTP Lima Centro;Fac. Salud;ENFERMERÍA;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;0;0
Nuevo;0;0;M;COLEGIO;AMERICANA;PRIVADA;LIMA;LIMA;MAGDALENA DEL MAR;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ARQUITECTURA;MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Nuevo;0;0;M;INSTITUTO;LATINO;PRIVADA;LIMA;LIMA;BRENA;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;ADMINISTRACION DE NEGOCIOS (50/50);MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Nuevo;0;0;F;;CERTUS;;LIMA;LIMA;SAN MARTIN DE PORRES;Carreras Pregrado;UTP Lima Centro;Fac. Salud;OBSTETRICIA;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;3;3
Nuevo;0;0;M;COLEGIO;1168 HEROES DEL CENEPA;ESTATAL;LIMA;LIMA;LIMA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. DE DISEÑO GRAFICO;NOCHE;SIN BENEFICIO;Presencial;2. 19-20;No;2;2
Nuevo;1;1;F;COLEGIO;PAMER;PRIVADA;LIMA;LIMA;LOS OLIVOS;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. BIOMEDICA;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Nuevo;1;1;M;COLEGIO;SACOOLIVEROS-PASCUALELAGU;PRIVADA;LIMA;LIMA;EL AGUSTINO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. AERONAUTICA;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Nuevo;0;0;F;;;;LIMA;LIMA;RIMAC;Carreras Pregrado;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. Y MARKETING;MIXTO;SIN BENEFICIO;Presencial;2. 19-20;No;5;0
Nuevo;0;0;M;INSTITUTO;SAN IGNACIO DE LOYOLA;PRIVADA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS Y MARKETING (50/50);NOCHE;SIN BENEFICIO;Presencial;5. >=30;No;3;3
Nuevo;0;0;F;COLEGIO;7707 CRISTO REY;PRIVADA;LIMA;LIMA;CHORRILLOS;Carreras Pregrado;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. HOTELERA Y DE TURISMO;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;5;5
Nuevo;0;0;M;;;;LIMA;LIMA;SAN LUIS;Carreras Pregrado;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MIXTO;SIN BENEFICIO;Presencial;2. 19-20;No;1;0
Nuevo;1;1;F;;20243;;LIMA;CANETE;QUILMANA;Carreras Pregrado;UTP Lima Centro;Fac. Salud;ENFERMERÍA;MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;2;2
Nuevo;1;1;M;;GERMAN POMALAZA RIXE;;JUNIN;YAULI;HUAY HUAY;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE REDES Y COMUNICACIONES;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;1;1
Nuevo;0;0;M;;CATOLICA HIGH SCHOOL;;LIMA;LIMA;COMAS;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SOFTWARE;NOCHE;SIN BENEFICIO;Presencial;3. 21-23;No;0;0
Nuevo;0;0;F;COLEGIO;COLEGIO GENERICO/EXTRANJERO;PRIVADA;LIMA;LIMA;SAN MIGUEL;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;NEGOCIOS INTERNACIONALES (50/50);MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;0;0
Nuevo;0;0;F;COLEGIO;6038;ESTATAL;LIMA;LIMA;SAN JUAN DE MIRAFLORES;Carreras Pregrado;UTP Lima Centro;Fac. Salud;ENFERMERÍA;MAÑANA;SIN BENEFICIO;Presencial;2. 19-20;No;0;0
Nuevo;0;0;M;COLEGIO;1035 JOSE DEL CARMEN MARIN ARI;ESTATAL;LIMA;LIMA;LIMA;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO (80/20);MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Nuevo;1;0;M;INSTITUTO;ORSON WELLES;PRIVADA;LIMA;LIMA;MIRAFLORES;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE TELECOMUNICACIONES;NOCHE;SIN BENEFICIO;Presencial;5. >=30;No;3;3
Nuevo;1;0;M;INSTITUTO;IFB;PRIVADA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS Y FINANZAS (50/50);MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;1;1
Nuevo;0;0;M;COLEGIO;FAP JOSE ABELARDO QUIÑONES;ESTATAL;LIMA;LIMA;SANTIAGO DE SURCO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Nuevo;0;0;F;COLEGIO;7064 MARIA AUXILIADORA;ESTATAL;LIMA;LIMA;CHORRILLOS;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS Y MARKETING (50/50);MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;2;0
Nuevo;0;0;F;COLEGIO;TERESA DE LOS REYES;PRIVADA;LIMA;LIMA;SAN MARTIN DE PORRES;Carreras Pregrado;UTP Lima Centro;Fac. Salud;ENFERMERÍA;NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Nuevo;1;1;F;COLEGIO;INGENIERIA;PRIVADA;CALLAO;CALLAO;BELLAVISTA;Carreras Pregrado;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. Y MARKETING;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;2;0
Nuevo;0;0;M;;FUERZA;;LIMA;LIMA;SANTIAGO DE SURCO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. AERONAUTICA;NOCHE;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Nuevo;0;0;F;;JOSE MANUEL MEZA;;ICA;NAZCA;EL INGENIO;Carreras Pregrado;UTP Lima Centro;Fac. Contabilidad;CONTABILIDAD;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;3;0
