ENROLLMENT;TUITION PAYMENT MARCH 2022;TUITION PAYMENT MARCH 2023;GENDER;TYPE OF EDUCATIONAL INSTITUTION;EDUCATIONAL INSTITUTION;INSTITUTION STATUS;DEPARTMENT;PROVINCE;DISTRICT;CLASSIFICATION;CAMPUS;FACULTY;PROGRAM/MAJOR;SHIFT/SCHEDULE;BENEFIT DISCOUNTS;STUDY MODE;AGE RANGE OF ENROLLED STUDENT;DISABILITY;NUMBER OF ENROLLED COURSES;AT-RISK COURSE
Reinscrito;1;1;M;COLEGIO;TRILCE;PRIVADA;LIMA;LIMA;PUEBLO LIBRE;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ARQUITECTURA;NOCHE;SIN BENEFICIO;Virtual;1. <=18;No;2;0
Reinscrito;1;1;M;COLEGIO;1107 JAVIER PRADO;ESTATAL;LIMA;LIMA;LA VICTORIA;Carreras Pregrado;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. BANCA Y FINANZAS;MAÑANA;SIN BENEFICIO;Presencial;1. <=18;No;2;0
Reinscrito;1;1;F;COLEGIO;JOSE MARIA EGUREN;ESTATAL;LIMA;LIMA;CHORRILLOS;Carreras Pregrado;UTP Lima Centro;Fac. Salud;TERAPIA FÍSICA;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;1;0
Reinscrito;1;1;M;;MARINA DE GUERRA DEL PERU;;LIMA;LIMA;COMAS;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;COMUNICACIÓN Y PUBLICIDAD;NOCHE;CONVENIOS;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;F;COLEGIO;PNP TUPAC AMARU;ESTATAL;LIMA;LIMA;EL AGUSTINO;Carreras Pregrado;UTP Lima Centro;Fac. Salud;OBSTETRICIA;MAÑANA;SIN BENEFICIO;Presencial;1. <=18;No;1;1
Reinscrito;1;1;M;;;;CALLAO;CALLAO;CALLAO;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL (80/20);NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Reinscrito;1;1;M;;UNIVERSIDAD;;LIMA;LIMA;LIMA;Carreras PPE;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Reinscrito;1;1;F;;;;LIMA;LIMA;SAN BORJA;Carreras PPE;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MAÑANA;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Reinscrito;1;1;M;COLEGIO;SAN VICENTE DE PAUL;PRIVADA;LIMA;LIMA;SURQUILLO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. BIOMEDICA;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Reinscrito;1;1;M;COLEGIO;1278 MIXTO LA MOLINA;ESTATAL;LIMA;LIMA;LA MOLINA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. AERONAUTICA;MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Reinscrito;1;1;M;;;;LIMA;LIMA;ATE;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE EMPRESAS (80/20);MIXTO;SIN BENEFICIO;Virtual;2. 19-20;No;2;0
Reinscrito;1;1;F;;;;HUANUCO;HUANUCO;CHINCHAO;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;NEGOCIOS INTERNACIONALES (50/50);MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Reinscrito;1;1;1;COLEGIO;7079 RAMIRO PRIALE PRIALE;ESTATAL;LIMA;LIMA;SAN JUAN DE MIRAFLORES;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;CIENCIAS DE LA COMUNICACIÓN;MIXTO;SIN BENEFICIO;Presencial;2. 19-20;No;1;0
Reinscrito;1;1;M;COLEGIO;SOPHIANO COLLEGE;PRIVADA;CALLAO;CALLAO;VENTANILLA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE TELECOMUNICACIONES;MIXTO;SIN BENEFICIO;Presencial;2. 19-20;No;2;0
Reinscrito;1;1;M;COLEGIO;ENSEÑANZA DIVINA;PRIVADA;LIMA;LIMA;CHORRILLOS;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. MECATRONICA;MAÑANA;SIN BENEFICIO;Presencial;2. 19-20;No;3;0
Reinscrito;1;1;F;;;;LIMA;LIMA;LIMA;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;NEGOCIOS INTERNACIONALES (50/50);MIXTO;SIN BENEFICIO;Presencial;2. 19-20;No;1;1
Reinscrito;1;1;M;COLEGIO;NUESTRA SEÑORA DEL ROSARIO;PRIVADA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SOFTWARE;MAÑANA;SIN BENEFICIO;Virtual;1. <=18;No;1;0
Reinscrito;1;1;F;COLEGIO;SANTIAGO ANTUNEZ DE MAYOLO;PRIVADA;CALLAO;CALLAO;VENTANILLA;Carreras PPE;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS Y MARKETING;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;2;0
Reinscrito;1;1;M;COLEGIO;1235 UNION LATINOAMERICANA;ESTATAL;JUNIN;JAUJA;JAUJA;Carreras Pregrado;UTP Lima Centro;Fac. Salud;TERAPIA FÍSICA;NOCHE;SIN BENEFICIO;Virtual;1. <=18;No;3;0
Reinscrito;1;1;F;COLEGIO;6152 STELLA MARIS;ESTATAL;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;COMUNICACIÓN Y PUBLICIDAD;MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Reinscrito;1;1;F;COLEGIO;ANTONIO RAIMONDI;PRIVADA;LIMA;LIMA;SAN ISIDRO;Carreras PPE;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS Y MARKETING;MAÑANA;SIN BENEFICIO;Presencial;5. >=30;No;2;0
Reinscrito;1;1;M;;;;LIMA;LIMA;MAGDALENA DEL MAR;Carreras Pregrado;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MIXTO;SIN BENEFICIO;Virtual;1. <=18;No;1;1
Reinscrito;1;1;M;COLEGIO;TECNICO FAP MANUEL POLO JIMENE;ESTATAL;LIMA;LIMA;SANTIAGO DE SURCO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. DE DISEÑO GRAFICO;NOCHE;SIN BENEFICIO;Presencial;2. 19-20;No;2;0
Reinscrito;1;1;F;COLEGIO;HONORES DE BREÑA;PRIVADA;LIMA;LIMA;BRENA;Carreras Pregrado;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. BANCA Y FINANZAS;NOCHE;SIN BENEFICIO;Virtual;2. 19-20;No;1;0
Reinscrito;1;1;F;COLEGIO;ROSA DOMINGA PEREZ LIENDO;ESTATAL;LIMA;LIMA;LA VICTORIA;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;CIENCIAS DE LA COMUNICACIÓN;NOCHE;SIN BENEFICIO;Presencial;2. 19-20;No;1;0
Reinscrito;0;0;M;;;;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERÍA CIVIL (50/50);MAÑANA;SIN BENEFICIO;Virtual;1. <=18;No;2;2
Reinscrito;1;1;F;COLEGIO;NUESTRA SEÑORA DEL CARMEN;ESTATAL;LIMA;LIMA;SAN MIGUEL;Carreras Pregrado;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MAÑANA;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Reinscrito;1;1;F;INSTITUTO;IFB;PRIVADA;LIMA;LIMA;RIMAC;Carreras PPE;UTP Lima Centro;Fac. Contabilidad;CONTABILIDAD FINANCIERA;MIXTO;CONVENIOS;Presencial;4. 24-29;No;3;0
Reinscrito;1;1;F;COLEGIO;TALENTUS SCHOOL;PRIVADA;LIMA;LIMA;SAN MARTIN DE PORRES;Carreras Pregrado;UTP Lima Centro;Fac. Salud;ENFERMERÍA;MIXTO;CONVENIOS;Presencial;3. 21-23;No;3;0
Reinscrito;1;1;F;INSTITUTO;SENATI;PRIVADA;LIMA;LIMA;EL AGUSTINO;Carreras PPE;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERÍA EMPRESARIAL CGT;NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;1;0
Reinscrito;1;1;F;COLEGIO;UNIVERSIDADNACIONALMAYORDE;ESTATAL;CALLAO;CALLAO;CALLAO;Carreras PPE;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MAÑANA;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Reinscrito;1;1;F;COLEGIO;TRILCE;PRIVADA;LIMA;LIMA;LOS OLIVOS;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. MECATRONICA;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;1;0
Reinscrito;1;1;M;COLEGIO;JOSEPH AND MERY HIGH SCHOOL;PRIVADA;LIMA;LIMA;JESUS MARIA;Carreras Pregrado;UTP Lima Centro;Fac. Contabilidad;CONTABILIDAD;MAÑANA;SIN BENEFICIO;Presencial;1. <=18;No;0;0
Reinscrito;0;0;M;INSTITUTO;SENATI;PRIVADA;LIMA;LIMA;PUEBLO LIBRE;Carreras PPE;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;INGENIERIA DE SISTEMAS E INFOR;MIXTO;SIN BENEFICIO;Presencial;4. 24-29;No;1;1
Reinscrito;1;1;F;COLEGIO;MIGUEL ANGEL;PRIVADA;LIMA;LIMA;ATE;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ARQUITECTURA;MAÑANA;SIN BENEFICIO;Presencial;2. 19-20;No;3;0
Reinscrito;1;1;F;INSTITUTO;FEDERICO VILLARREAL;PRIVADA;LIMA;LIMA;SAN JUAN DE MIRAFLORES;Carreras PPE;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MAÑANA;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Reinscrito;1;1;M;COLEGIO;SACO;PRIVADA;LIMA;LIMA;ATE;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. BIOMEDICA;MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Reinscrito;1;1;M;COLEGIO;ALMIRANTE MIGUEL GRAU;ESTATAL;ICA;NAZCA;MARCONA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;1;1
Reinscrito;1;1;F;COLEGIO;PARROQUIAL CORAZON DE MARIA;ESTATAL;TACNA;TACNA;TACNA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. BIOMEDICA;NOCHE;SIN BENEFICIO;Virtual;1. <=18;No;1;0
Reinscrito;1;1;M;;;;LIMA;LIMA;LIMA;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS E INFORMÁTICA (80/20);NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;2;0
Reinscrito;1;1;M;COLEGIO;JUAN GUERRERO QUIMPER;ESTATAL;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;DISEÑO DIGITAL PUBLICITARIO;NOCHE;SIN BENEFICIO;Presencial;2. 19-20;No;2;0
Reinscrito;1;1;M;;;;LIMA;LIMA;LA VICTORIA;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS E INFORMÁTICA (80/20);NOCHE;SIN BENEFICIO;Presencial;2. 19-20;No;1;0
Reinscrito;1;1;F;;;;LIMA;LIMA;VILLA MARIA DEL TRIUNFO;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERÍA EMPRESARIAL (50/50);NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;1;0
Reinscrito;1;1;M;;;;LIMA;LIMA;LIMA;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Hum y CC Soc;PSICOLOGIA (80/20);NOCHE;SIN BENEFICIO;Virtual;2. 19-20;No;1;0
Reinscrito;1;1;F;;;;LIMA;LIMA;SANTA ANITA;Carreras Pregrado;UTP Lima Centro;Fac. Salud;OBSTETRICIA;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;2;0
Reinscrito;1;1;2;COLEGIO;INMACULADO CORAZON DE JESUS;PRIVADA;;;;Carreras Pregrado;UTP Lima Centro;Fac. Salud;ENFERMERÍA;NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;1;0
Reinscrito;1;1;F;INSTITUTO;INSTITUTO PERUANO DE PUBLICIDA;PRIVADA;LIMA;LIMA;LA MOLINA;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;COMUNICACIÓN Y PUBLICIDAD;MAÑANA;SIN BENEFICIO;Virtual;5. >=30;No;1;0
Reinscrito;1;1;M;;;;LIMA;LIMA;LINCE;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS E INFORMÁTICA (50/50);MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;2;0
Reinscrito;1;1;M;;;;LIMA;LIMA;PUEBLO LIBRE;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;INGENIERIA DE SISTEMAS;NOCHE;SIN BENEFICIO;Presencial;2. 19-20;No;3;0
Reinscrito;1;1;M;INSTITUTO;HUAYCAN;ESTATAL;LIMA;LIMA;ATE;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. ELECTRONICA;MAÑANA;SIN BENEFICIO;Virtual;5. >=30;No;1;0
Reinscrito;1;1;F;COLEGIO;ARGENTINA;ESTATAL;LIMA;LIMA;RIMAC;Carreras Pregrado;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MAÑANA;SIN BENEFICIO;Presencial;1. <=18;No;1;0
Reinscrito;1;1;F;INSTITUTO;ARGENTINA;ESTATAL;LIMA;LIMA;BRENA;Carreras PPE;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MAÑANA;SIN BENEFICIO;Presencial;5. >=30;No;2;0
Reinscrito;1;1;M;INSTITUTO;TOULOUSE LAUTREC;PRIVADA;LIMA;LIMA;LIMA;Carreras PPE;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MAÑANA;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Reinscrito;1;1;M;COLEGIO;SANTA URSULA NAZARENA;PRIVADA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS;MAÑANA;SIN BENEFICIO;Presencial;1. <=18;No;1;1
Reinscrito;1;1;M;COLEGIO;HUAYNA CAPAC;ESTATAL;;;;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. BIOMEDICA;MIXTO;SIN BENEFICIO;Presencial;2. 19-20;No;3;3
Reinscrito;1;1;M;COLEGIO;DIAS FELICES - VILLA NOVA;PRIVADA;LIMA;LIMA;LIMA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. BIOMEDICA;MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;2;2
Reinscrito;1;1;M;COLEGIO;CARLOS AUGUSTO SALAVERRY;ESTATAL;LIMA;LIMA;RIMAC;Carreras Pregrado;UTP Lima Centro;Fac. Salud;ENFERMERÍA;NOCHE;SIN BENEFICIO;Presencial;5. >=30;No;2;0
Reinscrito;1;1;M;COLEGIO;3704 SAN COLUMBANO;PRIVADA;LIMA;LIMA;SAN MARTIN DE PORRES;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;DISEÑO DIGITAL PUBLICITARIO;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;2;0
Reinscrito;1;1;M;INSTITUTO;ESCUELA SUPERIOR PRIVADA DE TE;PRIVADA;LIMA;LIMA;RIMAC;Carreras PPE;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERIA INDUSTRIAL;NOCHE;SIN BENEFICIO;Presencial;5. >=30;No;1;0
Reinscrito;1;1;F;INSTITUTO;SENATI;PRIVADA;LIMA;LIMA;CARABAYLLO;Carreras Pregrado;UTP Lima Centro;Fac. Salud;ENFERMERÍA;MIXTO;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Reinscrito;1;1;M;;;;CALLAO;CALLAO;CALLAO;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS E INFORMÁTICA (80/20);MAÑANA;SIN BENEFICIO;Remoto;2. 19-20;No;1;0
Reinscrito;1;1;F;COLEGIO;SANTA MARIA DE JESUS;PRIVADA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;DISEÑO DIGITAL PUBLICITARIO;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Reinscrito;0;0;2;;;;LIMA;LIMA;SANTIAGO DE SURCO;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Hum y CC Soc;PSICOLOGIA (80/20);MAÑANA;SIN BENEFICIO;Remoto;3. 21-23;No;1;0
Reinscrito;1;1;F;COLEGIO;ESTHER CACERES SALGADO;ESTATAL;LIMA;LIMA;LIMA;Carreras Pregrado;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MAÑANA;SIN BENEFICIO;Presencial;3. 21-23;No;1;0
Reinscrito;1;1;M;COLEGIO;GRAN AMAUTA DE MOTUPE;PRIVADA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. CIVIL;NOCHE;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Reinscrito;1;1;M;COLEGIO;NUESTRA SEÑORA DEL ROSARIO DEL;PRIVADA;LIMA;LIMA;RIMAC;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS;MAÑANA;SIN BENEFICIO;Presencial;1. <=18;No;4;0
Reinscrito;1;1;F;INSTITUTO;IFB;PRIVADA;CALLAO;CALLAO;VENTANILLA;Carreras PPE;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS Y FINANZAS;MAÑANA;SIN BENEFICIO;Presencial;4. 24-29;No;3;0
Reinscrito;1;1;M;;;;CALLAO;CALLAO;BELLAVISTA;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS Y MARKETING (50/50);NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;1;1
Reinscrito;1;1;F;COLEGIO;SAN ISIDRO LABRADOR;PRIVADA;LIMA;LIMA;ATE;Carreras Pregrado;UTP Lima Centro;Fac. Salud;OBSTETRICIA;MAÑANA;SIN BENEFICIO;Virtual;1. <=18;No;2;0
Reinscrito;1;1;M;COLEGIO;INNOVASCHOOLS-SANMARTINDE;PRIVADA;LIMA;LIMA;LIMA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. AERONAUTICA;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;1;0
Reinscrito;1;1;2;COLEGIO;RICARDO PALMA;ESTATAL;;;;Carreras Pregrado;UTP Lima Centro;Fac. Salud;TERAPIA FÍSICA;NOCHE;SIN BENEFICIO;Virtual;5. >=30;No;3;0
Reinscrito;1;0;M;;;;LIMA;LIMA;SAN MIGUEL;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS E INFORMÁTICA (80/20);MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;2;2
Reinscrito;1;1;M;COLEGIO;JAVIER HERAUD;PRIVADA;LIMA;LIMA;ATE;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE REDES Y COMUNICACIONES;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;1;0
Reinscrito;1;1;F;;;;LIMA;LIMA;LIMA;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO (80/20);MAÑANA;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Reinscrito;1;1;F;COLEGIO;TERESA GONZALES DE FANNING;ESTATAL;;;;Carreras PPE;UTP Lima Centro;Fac. Adm. Y Neg.;ADM. DE NEGOCIOS Y FINANZAS;MAÑANA;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Reinscrito;1;1;F;;;;LIMA;LIMA;CARABAYLLO;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERÍA CIVIL (50/50);MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;4;0
Reinscrito;1;1;F;COLEGIO;PAMER;PRIVADA;LIMA;LIMA;LIMA;Carreras Pregrado;UTP Lima Centro;Fac. Salud;ENFERMERÍA;MIXTO;SIN BENEFICIO;Presencial;3. 21-23;No;3;0
Reinscrito;1;1;F;UNIVERSIDAD;UNIVERSIDADINCAGARCILASODE;PRIVADA;LIMA;LIMA;SURQUILLO;Carreras PPE;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MAÑANA;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Reinscrito;1;1;M;;;;CALLAO;CALLAO;CALLAO;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;NEGOCIOS INTERNACIONALES (50/50);MIXTO;SIN BENEFICIO;Virtual;1. <=18;No;1;1
Reinscrito;1;1;M;;;;CALLAO;CALLAO;CALLAO;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;NEGOCIOS INTERNACIONALES (50/50);MIXTO;SIN BENEFICIO;Virtual;2. 19-20;No;3;0
Reinscrito;1;1;F;;;;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Adm. Y Neg.;NEGOCIOS INTERNACIONALES (50/50);NOCHE;SIN BENEFICIO;Virtual;1. <=18;No;3;0
Reinscrito;1;1;F;COLEGIO;LOS EMPRENDEDORES DE SAN JUAN;PRIVADA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;DISEÑO DIGITAL PUBLICITARIO;MIXTO;SIN BENEFICIO;Presencial;2. 19-20;No;1;0
Reinscrito;1;0;F;UNIVERSIDAD;UNIVERSIDAD;PRIVADA;LIMA;LIMA;RIMAC;Carreras Pregrado;UTP Lima Centro;Fac. Hum y CC Soc;PSICOLOGIA;MIXTO;SIN BENEFICIO;Virtual;5. >=30;No;0;0
Reinscrito;1;0;M;;;;LIMA;LIMA;BRENA;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;INGENIERIA DE SISTEMAS;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;1;1
Reinscrito;1;1;M;INSTITUTO;DE LA CONSTRUCCION - CAPECO;PRIVADA;LIMA;LIMA;LIMA;Carreras PPE;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERIA CIVIL;MIXTO;SIN BENEFICIO;Presencial;5. >=30;No;3;0
Reinscrito;1;1;F;COLEGIO;110 SAN MARCOS;ESTATAL;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;COMUNICACIÓN Y PUBLICIDAD;NOCHE;SIN BENEFICIO;Virtual;1. <=18;No;1;0
Reinscrito;0;0;F;COLEGIO;DANIEL ALCIDES CARRION;ESTATAL;LIMA;LIMA;ATE;Carreras Pregrado 50-50;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERÍA EMPRESARIAL (50/50);NOCHE;SIN BENEFICIO;Virtual;1. <=18;No;0;0
Reinscrito;1;1;F;COLEGIO;UNIVERSIDADNACIONALAGRARIAL;ESTATAL;LIMA;LIMA;SAN MIGUEL;Carreras Pregrado;UTP Lima Centro;Fac. Salud;NUTRICIÓN;MIXTO;SIN BENEFICIO;Presencial;5. >=30;No;2;0
Reinscrito;1;1;F;COLEGIO;ALFONSO UGARTE;PRIVADA;LIMA;LIMA;SANTA ANITA;Carreras Pregrado;UTP Lima Centro;Fac. Cienc. Com.;CIENCIAS DE LA COMUNICACIÓN;MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Reinscrito;1;1;M;COLEGIO;CARDANO VIETE INGENIEROS;PRIVADA;LIMA;LIMA;LOS OLIVOS;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. MECATRONICA;MIXTO;SIN BENEFICIO;Presencial;2. 19-20;No;2;0
Reinscrito;1;1;F;COLEGIO;0032 RAUL PORRAS BARRENECHEA;ESTATAL;LIMA;LIMA;ATE;Carreras Pregrado;UTP Lima Centro;Fac. Der. Cienc. Polit. Y RRII;DERECHO;MAÑANA;SIN BENEFICIO;Presencial;1. <=18;No;2;0
Reinscrito;1;1;M;COLEGIO;TECNICO FAP MANUEL POLO JIMENE;ESTATAL;LIMA;LIMA;SANTIAGO DE SURCO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;1;1
Reinscrito;1;0;F;COLEGIO;TRILCE;PRIVADA;JUNIN;HUANCAYO;SICAYA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;INGENIERÍA EMPRESARIAL;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Reinscrito;1;1;F;;;;LIMA;LIMA;RIMAC;Carreras Pregrado 80-20;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. INDUSTRIAL (80/20);MAÑANA;SIN BENEFICIO;Remoto;1. <=18;No;1;0
Reinscrito;1;1;M;COLEGIO;RAMON CASTILLA;PRIVADA;LIMA;LIMA;SAN JUAN DE LURIGANCHO;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. DE DISEÑO GRAFICO;NOCHE;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Reinscrito;1;1;M;INSTITUTO;CESAR VALLEJO;PRIVADA;LIMA;LIMA;LIMA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Sist. Y Elect.;ING. DE SISTEMAS;MIXTO;SIN BENEFICIO;Presencial;1. <=18;No;3;0
Reinscrito;1;1;M;COLEGIO;EMANUEL;PRIVADA;LIMA;LIMA;LIMA;Carreras Pregrado;UTP Lima Centro;Fac. Ing. Ind. Y Mec.;ING. MECANICA;MAÑANA;SIN BENEFICIO;Virtual;2. 19-20;No;3;0
