PROV_NM,SUBM,Teacher_Gender,ACHIEVEMENTS1,MIDTERM1,FINAL1,NAT_MARK,Year-DOB,Month-DOB,NAT_MARK_range,NAT_MARK_range_encoded
2,1,1,25.0,12.0,29.0,48.8,2006,5,0-60,0
2,1,1,30.0,20.0,44.0,58.3,2007,11,0-60,0
2,1,1,30.0,19.0,43.0,49.7,2007,9,0-60,0
2,1,1,30.0,20.0,50.0,68.5,2007,12,60-70,1
2,1,1,30.0,16.0,39.0,50.5,2006,6,0-60,0
2,1,1,30.0,20.0,44.0,46.1,2007,10,0-60,0
2,1,1,25.0,17.0,45.0,42.2,2007,8,0-60,0
2,1,1,28.0,14.0,42.0,38.9,2007,11,0-60,0
2,1,1,21.0,15.0,24.0,44.2,2004,1,0-60,0
2,1,1,29.0,19.0,32.0,47.9,2008,1,0-60,0
2,1,1,29.0,19.0,48.0,61.9,2007,8,60-70,1
2,1,1,28.0,20.0,34.0,52.9,2007,2,0-60,0
2,1,1,28.0,16.0,44.0,52.9,2007,8,0-60,0
2,1,1,27.0,12.0,21.0,32.4,2008,6,0-60,0
2,1,1,28.0,16.0,29.0,47.9,2007,1,0-60,0
2,1,1,30.0,20.0,37.0,52.1,2008,1,0-60,0
2,1,1,29.0,18.0,43.0,42.2,2007,11,0-60,0
2,1,1,30.0,19.0,43.0,52.9,2007,5,0-60,0
2,1,1,27.0,17.0,47.0,33.8,2007,12,0-60,0
2,1,1,27.0,12.0,21.0,33.8,2007,6,0-60,0
2,1,1,27.0,17.0,39.0,37.7,2007,12,0-60,0
2,1,1,27.0,12.0,21.0,30.9,2007,10,0-60,0
2,1,1,26.0,9.0,26.0,43.2,2007,12,0-60,0
2,1,1,30.0,20.0,44.0,47.0,2007,4,0-60,0
2,1,1,26.0,14.0,25.0,32.4,2007,4,0-60,0
2,1,1,29.0,18.0,19.0,46.1,2007,6,0-60,0
2,1,1,30.0,20.0,44.0,64.1,2007,8,60-70,1
2,1,1,28.0,17.0,28.0,45.2,2007,6,0-60,0
2,1,1,26.0,12.0,42.0,49.7,2007,12,0-60,0
2,1,1,27.0,16.0,30.0,36.5,2007,3,0-60,0
2,1,1,28.0,16.0,31.0,46.1,2007,1,0-60,0
2,1,1,26.0,12.0,22.0,42.2,2007,1,0-60,0
2,1,1,28.0,18.0,35.0,42.2,2006,9,0-60,0
2,1,1,30.0,20.0,46.0,62.7,2007,7,60-70,1
2,1,1,27.0,10.0,23.0,44.2,2007,6,0-60,0
2,1,1,28.0,14.0,38.0,41.1,2007,9,0-60,0
2,1,1,27.0,17.0,43.0,56.8,2007,4,0-60,0
